x y
5 0.999822448090136
10 0.9212808189745739
15 0.8641989460127525
20 0.7823102466235371
25 0.6565962794487623
30 0.62758518012631
35 0.6001573333301218
40 0.5627318279829262
45 0.5844184098493305
50 0.49784899500807445
55 0.46941771018441136
60 0.5339898488225594
65 0.4681610253384665
70 0.4369349847871746
75 0.45739798596097286
80 0.45026365202962026
85 0.42118518296680363
90 0.4113814787177858
100 0.4015427267322858
600 0.21348685158653577
1100 0.19972955870703576
1600 0.19275854473984852
2100 0.18741305063871969
2600 0.18049068389911535
3100 0.17273050064556764
3600 0.180596993770824
4100 0.18029809608040032
4600 0.17796134822792095
5100 0.17236758303798388
5600 0.17155145249325565
6100 0.17039224388616445
6600 0.167892487686904
7100 0.16990859127705304
7600 0.16887943537849429
8100 0.16541837592010922
8600 0.16492561284953824
9100 0.16450518237774056
9600 0.16601248880765615
10100 0.16499334645675023
10600 0.1624555298617985
11100 0.1627654771399724
11600 0.16517990655101797
12100 0.16481241500246266
12600 0.1638962713606875
13100 0.1616280219507095
13600 0.16080773171548401
14100 0.15930554602763378
14600 0.15906033087506685
15100 0.1603391926124745
15600 0.15966418045799785
16100 0.15799690799250227
16600 0.15701226182623526
17100 0.1569777014586664
17600 0.15642648669515485
18100 0.15648386534425207
18600 0.15571487520198457
19100 0.1542995672586615
19600 0.1533914415062913
20100 0.15462822982218608
20600 0.15303303885308195
21100 0.15161563046557686
21600 0.15313815673465198
22100 0.1548267990078356
22600 0.15369095091281473
23100 0.1526348036960051
23600 0.15242525322809927
24100 0.15268098094894805
24600 0.1548946673201704
25100 0.1545386211937364
25600 0.1546960358873371
26100 0.15530463928509508
26600 0.15431012178892875
27100 0.15434188875995444
27600 0.15617097798290627
28100 0.15674285841708618
28600 0.1572032317608404
29100 0.15660834427477657
29600 0.15703960691532615
30100 0.1580311524122792
30600 0.15785130218272028
31100 0.1578064196260406
31600 0.15720191681468368
32100 0.15742020520044528
32600 0.15703170753562032
33100 0.15696316679853434
33600 0.15755276885014988
34100 0.1581561926905189
34600 0.15764196490674118
35100 0.1579441083191463
35600 0.15887591227186354
36100 0.15872429960282675
36600 0.1575754754250489
37100 0.15734160211771994
37600 0.15830493543229138
38100 0.15742804586085074
38600 0.157334837980446
39100 0.15663207801540655
39600 0.1563428853708107
40100 0.15666651118615776
40600 0.15670036631167145
41100 0.15662250719797116
41600 0.1564686112131262
42100 0.15643536465717103
42600 0.1564349471189443
43100 0.15542164215717352
43600 0.15544398464965797
44100 0.15476672684292175
44600 0.1542729693245129
45100 0.1540807871928841
45600 0.15434149460957977
46100 0.1545870948491591
46600 0.15430817294719615
47100 0.15415129951854403
47600 0.15394566477269858
48100 0.15361890276477538
48600 0.1529947586289764
49100 0.15206273821856217
49600 0.15283075674389804
50000 0.1528059224465321
